ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000309.0	bacillibactin	C[C@@H]1[C@@H](C(=O)O[C@@H]([C@@H](C(=O)O[C@@H]([C@@H](C(=O)O1)NC(=O)CNC(=O)C2=C(C(=CC=C2)O)O)C)NC(=O)CNC(=O)C3=C(C(=CC=C3)O)O)C)NC(=O)CNC(=O)C4=C(C(=CC=C4)O)O	Bacillus subtilis subsp. subtilis str. 168; Bacillus velezensis FZB42	RCQTVEFBFUNTGM-BDVHUIKKSA-N	MIBiG4.0rc1	BGC0001185.0
BGC0000310.0	bacitracin A1	CC[C@H](C)[C@@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	Bacillus licheniformis; Bacillus licheniformis; Bacillus subtilis	CLKOFPXJLQSYAH-KWOGWQNJSA-N	MIBiG4.0rc1; Norine	NOR00018
BGC0000311.0	balhimycin	CNC(CC(C)C)C(=O)NC1C(O)C2=CC=C(OC3=C(OC4O[C@H](CO)C(O)[C@H](O)C4O)C4=CC(=C3)C(NC(=O)C(CC(N)=O)NC1=O)C(=O)NC1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3C(NC(=O)C(NC1=O)C(OC1C[C@](C)(N)C(=O)C(C)O1)C1=CC=C(O4)C(Cl)=C1)C(O)=O)C(Cl)=C2	Amycolatopsis balhimycina DSM 5908	WKNFBFHAYANQHF-HPBAPGONSA-N	MIBiG4.0rc1	
BGC0000312.0	bassianolide	CC(C)C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C	Beauveria bassiana	QVZZPLDJERFENQ-NKTUOASPSA-N	MIBiG4.0rc1; NPAtlas	NPA020314
BGC0000313.0	beauvericin	CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C	Beauveria bassiana; Fusarium fujikuroi isolate IMI58289	GYSCAQFHASJXRS-FFCOJMSVSA-N	MIBiG4.0rc1	BGC0003047.0
BGC0000315.0	CDA1b	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H](CCC(O)=O)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(O[C@H](C)[C@@H]4NC([C@H](CO)NC(C(O5)C5CCC)=O)=O)=O)=O)=O)[C@H](OP(O)(O)=O)C(N)=O)=O)=O)=O)=O)[C@H](CC(O)=O)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC4=O)=O	Streptomyces coelicolor A3(2)	LUYIOBWFMDELAR-NMJWYASFSA-N	MIBiG4.0rc1	
BGC0000315.1	CDA2a	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H](CCC(O)=O)C(N/C(C(O[C@H](C)[C@@H]2NC([C@H](CO)NC(C(O3)C3CCC)=O)=O)=O)=C\C4=CNC5=C4C=CC=C5)=O)=O)[C@H](OP(O)(O)=O)C(N)=O)=O)=O)=O)=O)[C@H](CC(O)=O)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC2=O)=O	Streptomyces coelicolor A3(2)	HDBCLPTUKVHJRE-NHTRHERRSA-N	MIBiG4.0rc1	
BGC0000315.2	CDA2b	CCCC1OC1C(=O)N[C@@H](CO)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC1=O)C1=CC=C(O)C=C1)[C@H](OP(O)(O)=O)C(N)=O)C(C)CC(O)=O	Streptomyces coelicolor A3(2)	WTMASHWTLVHXAV-OQOVWUBXSA-N	MIBiG4.0rc1	
BGC0000315.3	CDA3a	[H][C@@]1(CCC(O)=O)NC([C@](NC(CNC([C@@H](NC([C@@H](C2=CC=C(C=C2)O)NC([C@@H](NC([C@@H](NC([C@H](NC([C@H]([C@H](OC(/C(NC1=O)=C/C3=CNC4=C3C=CC=C4)=O)C)NC([C@@H](NC(C5OC5CCC)=O)CO)=O)=O)CC6=CNC7=C6C=CC=C7)=O)CC(O)=O)=O)CC(O)=O)=O)=O)CC(O)=O)=O)=O)([C@@H](C(N)=O)O)[H])=O	Streptomyces coelicolor A3(2)	SLGCKWXDQZMUCF-SSNLTMHJSA-N	MIBiG4.0rc1	
BGC0000315.4	CDA3b	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H](CCC(O)=O)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(O[C@H](C)[C@@H]4NC([C@H](CO)NC(C(O5)C5CCC)=O)=O)=O)=O)=O)[C@@H](C(N)=O)O)=O)=O)=O)=O)[C@H](CC(O)=C)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC4=O)=O	Streptomyces coelicolor A3(2)	XGLCZYVABSAPMJ-AISVKAHBSA-N	MIBiG4.0rc1	
BGC0000315.5	CDA4a; CDA4b	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H]([C@H](C)CC(O)=O)C(N/C(C(O[C@H](C)[C@@H]2NC([C@H](CO)NC(C(O3)C3CCC)=O)=O)=O)=C\C4=CNC5=C4C=CC=C5)=O)=O)[C@H](O)C(N)=O)=O)=O)=O)=O)[C@H](CC(O)=O)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC2=O)=O	Streptomyces coelicolor A3(2)	NQOKDPHJXPKXGQ-HITDHQDLSA-N	MIBiG4.0rc1	BGC0000315.6
BGC0000316.0	capreomycin IA	O=C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	Saccharothrix mutabilis subsp. capreolus	JNIIDKODPGHQSS-CGLFUZANSA-N	MIBiG4.0rc1	
BGC0000316.1	capreomycin IB	C[C@H]1C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]2CCN=C(N)N2)C(NC[C@H](N)C(N1)=O)=O)=O)=C\NC(N)=O)=O)=O	Saccharothrix mutabilis subsp. capreolus	FRXNXDHFQYZYNA-XYHSJSFUSA-N	MIBiG4.0rc1	
BGC0000316.2	capreomycin IIA	O=C(N[C@@H](CN)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	Saccharothrix mutabilis subsp. capreolus	XFGCTBYTRMLWCB-MRSVHRRQSA-N	MIBiG4.0rc1	
BGC0000316.3	capreomycin IIB	C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CN	Saccharothrix mutabilis subsp. capreolus	MHBQQDNEPQYCOS-CBQPQWBASA-N	MIBiG4.0rc1	
BGC0000317.0	cephalosporin C	CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CCCC(N)C(O)=O)C2=O)C(O)=O	Acremonium chrysogenum ATCC 11550	HOKIDJSKDBPKTQ-UHFFFAOYSA-N	MIBiG4.0rc1	
BGC0000318.0	cephalosporin, cefEFG genes	C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N	Acremonium chrysogenum ATCC 11550	JGKXEMYIHDYWCZ-JFUSQASVSA-N	MIBiG4.0rc1	
BGC0000319.0	cephamycin C	CO[C@]1(NC(=O)CCCC(N)C(O)=O)C2SCC(COC(N)=O)=C(N2C1=O)C(O)=O	Streptomyces clavuligerus ATCC 27064	LXWBXEWUSAABOA-YQIDSGEHSA-N	MIBiG4.0rc1	
BGC0000320.0	cereulide	CC(C)C[C@H]1OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C	Bacillus cereus	JWWAHGUHYLWQCQ-UHZBFKKDSA-N	MIBiG4.0rc1	
BGC0000321.0	chaetocin	CN1C(=O)[C@@]23C[C@]4([C@@H](N2C(=O)[C@]1(SS3)CO)NC5=CC=CC=C54)[C@]67C[C@@]89C(=O)N([C@](C(=O)N8[C@@H]6NC1=CC=CC=C71)(SS9)CO)C	Collariella virescens; Chaetomium minutum	PZPPOCZWRGNKIR-NAUSJNOYSA-N	MIBiG4.0rc1; NPAtlas	NPA020287
BGC0000322.0	chloroeremomycin	C[C@H]1[C@@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(C)N)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O	Amycolatopsis orientalis	XJHXLMVKYIVZTE-LOALFDMRSA-N	MIBiG4.0rc1	
BGC0000323.0	cichofactin A	O=C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)=O)=O)=O)=O)=O)[C@H](CC1=CNC=N1)NC(CC(O)CCCCCCC)=O	Pseudomonas cichorii	FVJBYOXUZWKLDG-FRECFEOCSA-N	MIBiG4.0rc1	
BGC0000323.1	cichofactin B	O=C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)=O)=O)=O)=O)=O)[C@H](CC1=CNC=N1)NC(CC(O)CCCCCCCCC)=O	Pseudomonas cichorii	DYMCOQIZBKUFDL-CALMWFSYSA-N	MIBiG4.0rc1	
BGC0000325.0	coelichelin	C[C@@H](O)[C@@H](NC(=O)[C@H](N)CCCN(O)C=O)C(=O)N(O)CCC[C@H](NC(=O)[C@H](N)CCCN(O)C=O)C(O)=O	Streptomyces coelicolor A3(2); Streptomyces coelicolor; Streptomyces coelicolor	ZPJLQAOTGYKOBJ-OVYGPGRDSA-N	MIBiG4.0rc1; Norine	NOR01141
BGC0000326.0	isocomplestatin	CN1[C@@H](CC2=CC=C(OC3=CC4=CC(=C3O)C3=CC5=C(C=C3)C(C[C@@H](NC(=O)C(=O)C3=CC(Cl)=C(O)C(Cl)=C3)C(=O)N[C@H](C3=CC(Cl)=C(O)C(Cl)=C3)C(=O)N[C@H]4C(=O)N[C@H](C3=CC(Cl)=C(O)C(Cl)=C3)C1=O)=CN5)C=C2)C(=O)N[C@@H](C(O)=O)C1=CC=C(O)C=C1	Streptomyces lavendulae	JJGZGELTZPACID-OTLJHNKQSA-N	MIBiG4.0rc1	
BGC0000327.0	netropsin; congocidine	CN1C=C(NC(=O)C2=CC(NC(=O)CNC(N)=N)=CN2C)C=C1C(=O)NCCC(N)=N	Streptomyces ambofaciens ATCC 23877; Streptomyces netropsis; Streptomyces ambofaciens	IDBIFFKSXLYUOT-UHFFFAOYSA-N	MIBiG4.0rc1; Norine	BGC0001147.2; NOR01914
BGC0000328.0	coronatine	CCC1CC1(NC(=O)C1=CC(CC)CC2C1CCC2=O)C(O)=O	Pseudomonas savastanoi pv. glycinea; Pseudomonas syringae pv. atropurpurea; Pseudomonas syringae pv. maculicola; Pseudomonas syringae pv. glycinea; Pseudomonas syringae pv. morsprunorum; Pseudomonas syringae pv. tomato	FMGBNISRFNDECK-UHFFFAOYSA-N	MIBiG4.0rc1; Norine	NOR00294
BGC0000329.0	corpeptin A	CCCCCCCC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](CCO)C(=N[C@@H](C(C)C)C(=N[C@@H]([C@H](C)CC)C(=NC(=C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@H]2[C@@H](OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)C)O)CCN)O)CO)O)[C@@H](C)CC)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O	Pseudomonas corrugata	FKHKGFPKDCFJTR-OLOWBZJQSA-N	MIBiG4.0rc1; Norine	NOR00350
BGC0000329.1	corpeptin B	CCCC/C=C\CC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](CCO)C(=N[C@@H](C(C)C)C(=N[C@@H]([C@H](C)CC)C(=NC(=C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@H]2[C@@H](OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)C)O)CCN)O)CO)O)[C@@H](C)CC)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O	Pseudomonas corrugata	GKFSXZMXKLOLNR-YOAJQWAZSA-N	MIBiG4.0rc1	
BGC0000330.0	cupriachelin	CCCCCCCCCC(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C[C@H](C)O)C(O)=O	Cupriavidus necator H16	NKYSSGMAMSGPMC-UBFCWUJISA-N	MIBiG4.0rc1	
BGC0000331.0	cyanopeptolin 1138	CCC(C)C1C(=O)OC(C(C(=O)NC(C(=O)NC2CCC(N(C2=O)C(C(=O)N(C(C(=O)N1)CC3=CC=CC=C3)C)C(C)CC)O)CCC4=CC=C(C=C4)O)NC(=O)C(CCC5=CC=C(C=C5)O)NC(=O)C(COS(=O)(=O)O)OC)C	Planktothrix agardhii NIVA-CYA 116; Planktothrix sp. NIVA CYA 116	IPSPUQFSLMOERD-UHFFFAOYSA-N	MIBiG4.0rc1; NPAtlas	NPA027404
BGC0000332.0	cyanopeptolin	CC[C@H](C)[C@H]1C(=O)O[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]2CC[C@H](N(C2=O)[C@H](C(=O)N([C@H](C(=O)N1)CC3=CC=CC=C3)C)[C@@H](C)CC)O)CCCN=C(N)N)NC(=O)[C@@H](COS(=O)(=O)O)O)C	Microcystis sp. NIVA-CYA 172/5	LQLBUPVHKUILGJ-LKAQEJCWSA-N	MIBiG4.0rc1	
BGC0000333.0	cyclomarin D	CO[C@@H]([C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](C[C@@H](C)CO)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C)[C@H](C)C=C(C)C)[C@H](O)C1=CN(C2=C1C=CC=C2)C(C)(C)C=C)C1=CC=CC=C1	Salinispora arenicola CNS-205	AHDUXXXZGSWYHF-IXGGKXOYSA-N	MIBiG4.0rc1	
BGC0000334.0	cyclosporin A	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	Tolypocladium inflatum NRRL 8044	PMATZTZNYRCHOR-CGLBZJNRSA-N	MIBiG4.0rc1	
BGC0000335.0	cystomanamide A	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O	Cystobacter fuscus	JENXRARIASYFRK-LXTLSNALSA-N	MIBiG4.0rc1	
BGC0000335.1	cystomanamide B	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(=O)OC[C@@H](O)C(=O)N[C@H](CC1=CC=C(O)C=C1)C(O)=O	Cystobacter fuscus	XVVKSDYJVOKNQB-YUSBRPJASA-N	MIBiG4.0rc1	
BGC0000335.2	cystomanamide C	CC(C)CCCCC[C@H](CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O)NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O	Cystobacter fuscus	ZQVAGUCMGLTYLM-XYGWJPTCSA-N	MIBiG4.0rc1	
BGC0000335.3	cystomanamide D	CC(C)CCCCC[C@H](CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O)NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O	Cystobacter fuscus	LEKPXUJAHHIWPQ-JUSKRKDISA-N	MIBiG4.0rc1	
BGC0000336.0	daptomycin	CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C	Streptomyces filamentosus NRRL 11379	DOAKLVKFURWEDJ-QCMAZARJSA-N	MIBiG4.0rc1	
BGC0000337.0	destruxin A	[H][C@@]12CCCN1C(=O)[C@@H](CC=C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](NC2=O)[C@@H](C)CC	Metarhizium robertsii ARSEF 23	XIYSEKITPHTMJT-OCCJOITDSA-N	MIBiG4.0rc1	
BGC0000338.0	echinocandin B	CCCCC/C=C\C/C=C\CCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H]([C@H](CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](C)O)C)O)O)O	Aspergillus rugulosus; Aspergillus nidulans NRRL 8112	FAUOJMHVEYMQQG-HVYQDZECSA-N	MIBiG4.0rc1	BGC0001371.0
BGC0000339.0	echinomycin	C[C@@H]1C(=O)N([C@H]2CSC([C@@H](C(=O)N([C@H](C(=O)OC[C@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@@H](COC(=O)[C@@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C	Streptomyces lasaliensis	AUJXLBOHYWTPFV-CVLRASHMSA-N	MIBiG4.0rc1	
BGC0000340.0	echoside A	COC(=O)[C@H]1O[C@@H](OC2=C(C=C(O)C(=C2O)C2=CC=CC=C2)C2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O	Streptomyces sp. LZ35	YCRVYSRXMZRXDW-MDYSUIJBSA-N	MIBiG4.0rc1	
BGC0000340.1	echoside B	COC1=C(C=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C(=C1O)C1=CC=CC=C1)C1=CC=CC=C1	Streptomyces sp. LZ35	ULMASYHIMBKYFX-MDYSUIJBSA-N	MIBiG4.0rc1	
BGC0000340.2	echoside C	O[C@@H]1[C@@H](O)[C@H](OC2=C(C=C(O)C(=C2O)C2=CC=CC=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O	Streptomyces sp. LZ35	QQDLPJHEFJKVHT-MJRVOHGCSA-N	MIBiG4.0rc1	
BGC0000340.3	echoside D	O[C@H]1[C@H](OC2=C(C3=C(SC=N3)C(=C2O)C2=CC=CC=C2)C2=CC=CC=C2)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O	Streptomyces sp. LZ35	XQEMVDKXSBBLLC-QDSRYJPQSA-N	MIBiG4.0rc1	
BGC0000340.4	echoside E	CN1C(=O)SC2=C1C(C1=CC=CC=C1)=C(O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)C(O)=C2C1=CC=CC=C1	Streptomyces sp. LZ35	IHUHIFKVCBIAMM-QDSRYJPQSA-N	MIBiG4.0rc1	
BGC0000341.0	enduracidin B	CCC(C)CCCC/C=C/C=C/C(=O)NC(CC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C2=CC=C(C=C2)O)CCCN)C(C)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O)C(C)O)CCCNC(=O)N)CC5CN=C(N5)N)C6=CC=C(C=C6)O)CO)C7=CC(=C(C(=C7)Cl)O)Cl)CC8CN=C(N8)N)C)C9=CC=C(C=C9)O)C	Streptomyces fungicidicus; Streptomyces fungicidicus B-5477	JPYWPHBUMZRLPO-JDCCHMEXSA-N	MIBiG4.0rc1; NPAtlas	NPA020038
BGC0000341.1	enduracidin A	CC1C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)C2=CC=C(C=C2)O)C)CC3CN=C(N3)N)C4=CC(=C(C(=C4)Cl)O)Cl)CO)C5=CC=C(C=C5)O)CC6CN=C(N6)N)CCCNC(=O)N)C(C)O)C7=CC=C(C=C7)O)C8=CC=C(C=C8)O)C(C)O)CCCN)C9=CC=C(C=C9)O)NC(=O)C(CC(=O)O)NC(=O)/C=C/C=C/CCCCC(C)C	Streptomyces fungicidicus; Streptomyces fungicidicus B-5477	IPZGNBNNEDCXBK-KWKAUDIHSA-N	MIBiG4.0rc1; NPAtlas	NPA020042
BGC0000342.0	enniatin	CCCC[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)CC)C)C(C)C)C(C)C)C)C(C)C	Fusarium equiseti	VGOLHAPJYMAXRH-CKHUAROESA-N	MIBiG4.0rc1	
BGC0000343.0	enterobactin	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O	Pseudomonas sp. J465; Wickerhamiella pararugosa; Escherichia coli str. K-12 substr. MG1655; Escherichia coli	SERBHKJMVBATSJ-UHFFFAOYSA-N	MIBiG4.0rc1; Norine	BGC0002183.0; BGC0002476.0; NOR00251
BGC0000345.0	eponemycin	CC(C)CCCCC(=O)NC(CO)C(=O)N[C@@H](CC(=C)C)C(=O)[C@]1(CO1)CO	Streptomyces hygroscopicus	ZPLVYYNMRMBNGE-XNKIQEMOSA-N	MIBiG4.0rc1	
BGC0000346.0	epoxomicin	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C	Goodfellowiella coeruleoviolacea	DOGIDQKFVLKMLQ-JTHVHQAWSA-N	MIBiG4.0rc1	
BGC0000348.0	ergovaline	CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O	Epichloe festucae var. lolii; Epichloe festucae Fl1	BGHDUTQZGWOQIA-VQSKNWBGSA-N	MIBiG4.0rc1	BGC0003162.0
BGC0000349.0	erythrochelin	CC(=O)N[C@H](CCCN(O)C(C)=O)C(=O)N[C@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C(C)=O)NC1=O	Saccharopolyspora erythraea NRRL 2338	OHIZVXAYPZKILQ-FUMNGEBKSA-N	MIBiG4.0rc1	
BGC0000350.0	ET-743	CC1=C(C(=C2[C@@H]3[C@@H]4[C@H]5C6=C([C@@H](N4[C@H]([C@@H](N3C)CC2=C1)O)COC(=O)[C@@]7(CS5)C8=CC(=C(C=C8CCN7)O)OC)C9=C(C(=C6OC(=O)C)C)OCO9)O)OC	uncultured organism	PKVRCIRHQMSYJX-AIFWHQITSA-N	MIBiG4.0rc1	
BGC0000352.0	fimsbactin A	CC(=O)N(O)CCCCNC(=O)[C@H](COC(=O)C1=C(O)C(O)=CC=C1)NC(=O)[C@@H]1COC(=N1)C1=C(O)C(O)=CC=C1	Acinetobacter sp. ADP1	GUYAPGULLNBOCI-ROUUACIJSA-N	MIBiG4.0rc1	
